"disasterNumber","state","county","city","zipCode","validRegistrations","averageFemaInspectedDamage","totalInspected","totalDamage","noFemaInspectedDamage","femaInspectedDamageBetween1And10000","femaInspectedDamageBetween10001And20000","femaInspectedDamageBetween20001And30000","femaInspectedDamageGreaterThan30000","approvedForFemaAssistance","totalApprovedIhpAmount","repairReplaceAmount","rentalAmount","otherNeedsAmount","approvedBetween1And10000","approvedBetween10001And25000","approvedBetween25001AndMax","totalMaxGrants","id"
1439,"TX","Aransas (County)","ARANSAS PASS","78335",4,1345.01,3,5380.02,0,3,0,0,0,3,5915.91,3573.02,970,1372.89,3,0,0,0,"4f01543a-f601-4134-8e5a-f862d0b5d942"
1439,"TX","Aransas (County)","ARANSAS PASS","78336",68,3082.82,63,209632.06,4,56,3,0,0,54,180717.57,131097.36,23946,25674.21,27,26,1,0,"f66c8df1-c999-4eaa-9014-06452cae9672"
1439,"TX","Aransas (County)","FULTON","78358",20,4722.34,18,94446.72,0,17,1,0,0,17,94240.88,58754.7,6784,28702.18,3,11,3,0,"c76dd891-49fd-43cf-9b44-df78dda97839"
1439,"TX","Aransas (County)","FULTON","78381",1,2578.3,1,2578.3,0,1,0,0,0,1,3304.3,1407.96,726,1170.34,1,0,0,0,"99efc693-0c9d-4b5b-8540-61373d29f599"
1439,"TX","Aransas (County)","ROCKPORT","78331",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"f81d227c-cc99-416a-a8c7-8f7eff2b075b"
1439,"TX","Aransas (County)","ROCKPORT","78381",16,4138.11,15,66209.78,0,15,0,0,0,13,54528.53,37005.17,5088,12435.36,6,6,1,0,"a03f0aa2-e703-4f82-939b-e7d0be932fa3"
1439,"TX","Aransas (County)","ROCKPORT","78382",307,3653.9,278,1121747.18,10,252,15,0,1,259,1069191.44,711228.83,135290,222672.61,118,115,26,0,"dd89c906-cfe1-4da3-bb4e-f88e61bd486e"
1439,"TX","Aransas (County)","ROCK PORT","78358",1,1540.35,1,1540.35,0,1,0,0,0,1,5726,5000,726,0,0,1,0,0,"3b4163b8-d41f-4fc4-89b3-ae0188985345"
1439,"TX","Aransas (County)","TAFT","78390",1,3581.76,1,3581.76,0,1,0,0,0,1,3855.33,2885.33,970,0,0,1,0,0,"f31d1c7c-bb7b-46f2-a850-4673bba0ca91"
1439,"TX","Brazoria (County)","ALVIN","77511",5,4443,5,22214.98,1,3,1,0,0,5,15866.2,11486.67,2600,1779.53,2,3,0,0,"31a66113-42db-457d-97d9-fa8928ce0f6f"
1439,"TX","Brazoria (County)","ANGLETON","77515",4,6463.04,3,25852.14,0,2,1,0,0,3,13788.24,10687.8,0,3100.44,1,2,0,0,"59dba807-c307-4ac7-b3f6-121ddf437a00"
1439,"TX","Brazoria (County)","ANGLETON","77516",1,6640.07,1,6640.07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"650a7483-b2ba-4b01-8e7f-c3b99d02496f"
1439,"TX","Brazoria (County)","BRAZORIA","77422",11,4276.01,8,47036.11,0,5,3,0,0,6,22428.76,17816.76,4612,0,4,2,0,0,"618f1db3-8acd-490d-b700-2b368a49e754"
1439,"TX","Brazoria (County)","CLUTE","77531",8,2433.88,8,19471.07,2,5,1,0,0,4,6209.81,6209.81,0,0,4,0,0,0,"292d1131-04ad-4e97-9c3e-7bce2e953031"
1439,"TX","Brazoria (County)","FREEPORT","77541",23,3398.07,21,78155.55,1,19,1,0,0,20,80404.58,49951.8,14392,16060.78,8,11,1,0,"e0b29612-cd0b-4a5f-9a55-b06e1247d723"
1439,"TX","Brazoria (County)","JONES CREEK","77541",2,8316.89,2,16633.78,0,1,1,0,0,2,7679.1,6235.1,1444,0,1,1,0,0,"ad98754a-7a2e-4226-abb6-b0b63cb49b36"
1439,"TX","Brazoria (County)","LAKE JACKSON","77566",4,2687.37,3,10749.48,0,3,0,0,0,3,16129.58,9614.84,4732,1782.74,1,2,0,0,"7fb13e65-1717-460b-b1c6-a5a2a10e17af"
1439,"TX","Brazoria (County)","OLD OCEAN","77463",1,6809.37,1,6809.37,0,1,0,0,0,1,7965.37,4362.54,1156,2446.83,0,1,0,0,"01eb6f51-8ac1-4974-a782-3a6d01b13462"
1439,"TX","Brazoria (County)","PEARLAND","77581",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"69641bbc-8fb8-4605-a0d8-316cc9acf1b6"
1439,"TX","Brazoria (County)","PEARLAND","77584",5,9194.51,5,45972.55,0,3,2,0,0,5,25600.04,19646.47,3456,2497.57,1,3,1,0,"bf3f1e5a-eff1-415c-84d7-63ec9afef3c6"
1439,"TX","Brazoria (County)","ROSHARON","77583",4,4749.94,4,18999.75,0,3,1,0,0,4,16494.9,8884.11,1444,6166.79,3,0,1,0,"d597bc14-b923-4c4d-89d7-1a3c394d9004"
1439,"TX","Brazoria (County)","SILSBEE","77656",1,1149.03,1,1149.03,0,1,0,0,0,1,2305.03,756.53,1156,392.5,1,0,0,0,"27c1d87d-dff0-4ed2-9c90-baf7cb1b7d51"
1439,"TX","Brazoria (County)","SWEENY","77480",2,5758.86,2,11517.72,0,2,0,0,0,2,9587.5,9587.5,0,0,0,2,0,0,"636a50df-8dcf-4b2d-849e-912a9a9debd7"
1439,"TX","Brazoria (County)","WEST COLUMBIA","77486",4,2124.43,4,8497.73,0,4,0,0,0,3,6830.3,6830.3,0,0,2,1,0,0,"638090fb-24a7-40d2-8e74-05fb3e2cfe46"
1439,"TX","Cameron (County)","BLUETOWN","78592",1,935.6,1,935.6,0,1,0,0,0,1,935.6,635.5,0,300.1,1,0,0,0,"20fab726-ee30-4a78-a9f8-8d2b9f555854"
1439,"TX","Cameron (County)","BROWNSVILLE","78520",16,1414.78,14,22636.49,0,14,0,0,0,12,25625.09,17361.02,4574,3690.07,9,3,0,0,"d08a576f-e920-40c4-ae7b-90d822266a03"
1439,"TX","Cameron (County)","BROWNSVILLE","78521",37,2194.29,31,81188.68,1,29,1,0,0,29,88859.22,52820.88,8526,27512.34,22,6,1,0,"7b63c14d-b5f9-485b-9838-398f4add25f0"
1439,"TX","Cameron (County)","BROWNSVILLE","78526",3,2254.29,3,6762.88,0,3,0,0,0,3,5985.18,4580.38,0,1404.8,2,1,0,0,"e925d1ab-27de-4355-9270-485b7cd69b47"
1439,"TX","Cameron (County)","COMBES","78535",5,2277.95,5,11389.75,0,5,0,0,0,5,10193.95,7064.64,0,3129.31,4,1,0,0,"229af483-4f26-4834-ba05-997fa7acd84e"
1439,"TX","Cameron (County)","HARLINGEN","78550",37,1934.89,30,71591.03,2,27,1,0,0,27,64924.09,38704.33,6886,19333.76,18,8,1,0,"a004e128-976d-4a81-9fd7-abdbb49feabb"
1439,"TX","Cameron (County)","HARLINGEN","78552",29,3030.82,25,87893.73,0,23,2,0,0,25,84829.9,49854.55,6567,28408.35,15,9,1,0,"2e1569d7-586c-4109-a1d6-f8e490680b0d"
1439,"TX","Cameron (County)","LA FERIA","78559",40,2099.81,39,83992.45,0,39,0,0,0,37,79284.37,59424.72,5430,14429.65,30,7,0,0,"813f2ee8-a3af-4e90-9f5d-f3ae2a6f6da1"
1439,"TX","Cameron (County)","LAGUNA HEIGHTS","78578",3,7778.71,3,23336.12,0,2,1,0,0,3,24459.98,11985.1,1804,10670.88,0,2,1,0,"aedefa8e-2ce0-4eee-9b65-81acb08b8b1c"
1439,"TX","Cameron (County)","LAGUNA VISTA","78578",4,5406.13,4,21624.51,0,4,0,0,0,4,14273.61,9105.8,2860,2307.81,2,2,0,0,"788b8f97-d94a-4014-bf6e-90099570baa8"
1439,"TX","Cameron (County)","LOS FRESNOS","78566",36,2890.14,34,104044.92,1,33,0,0,0,31,108546,56595.91,13565,38385.09,20,9,2,0,"f53b1059-9d63-45f0-9325-896102a37e10"
1439,"TX","Cameron (County)","LOS INDIOS","78567",1,5650.3,1,5650.3,0,1,0,0,0,1,7202.29,3633.52,1002,2566.77,0,1,0,0,"e6f74905-eeeb-46f0-9389-1ec2d5be3c17"
