"disasterNumber","state","county","city","zipCode","validRegistrations","totalInspected","totalInspectedWithNoDamage","totalWithModerateDamage","totalWithMajorDamage","totalWithSubstantialDamage","approvedForFemaAssistance","totalApprovedIhpAmount","repairReplaceAmount","rentalAmount","otherNeedsAmount","approvedBetween1And10000","approvedBetween10001And25000","approvedBetween25001AndMax","totalMaxGrants","id"
1439,"TX","Harris (County)","BEAUMONT","70005",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"1b20d746-d9be-4f82-b5b6-3a76a3e24830"
1439,"TX","Walker (County)","MIDWAY","75852",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"7994c9ae-7cae-40b8-aa66-6b4937a7c135"
1439,"TX","Walker (County)","TRINITY","75862",2,2,2,0,0,0,1,9636.77,0,846,8790.77,1,0,0,0,"75007d2e-c212-4a7b-81b0-cf701042536a"
1439,"TX","Jasper (County)","JASPER","75951",36,35,36,0,0,0,10,13541.04,0,2886,10655.04,10,0,0,0,"9cea671c-5887-47da-9f8e-cd60a17716e0"
1439,"TX","Harris (County)","HOUSTON","77002",1,1,1,0,0,0,1,3855.8,0,0,3855.8,1,0,0,0,"0d1b1024-b477-4220-8a65-e71ab4ead449"
1439,"TX","Harris (County)","BEAUMONT","77003",1,1,1,0,0,0,1,6243.7,0,2084,4159.7,1,0,0,0,"60907ec9-afe1-467c-9420-a6e9dc89c282"
1439,"TX","Harris (County)","HOUSTON","77004",5,5,5,0,0,0,4,15808.12,0,3240,12568.12,4,0,0,0,"e9500a1d-961e-4e5c-9c36-73438bb73c1e"
1439,"TX","Harris (County)","HOUSTON","77012",1,1,1,0,0,0,1,747,0,747,0,1,0,0,0,"0f41d88d-872c-498b-8f5e-2d405332e763"
1439,"TX","Harris (County)","HOUSTON","77013",1,1,1,0,0,0,1,6576.36,0,1156,5420.36,1,0,0,0,"9a2f301e-a894-4438-9b1f-9c4e70075081"
1439,"TX","Harris (County)","HOUSTON","77014",1,1,1,0,0,0,1,550,0,0,550,1,0,0,0,"600ed32f-cc58-4387-aee0-ec4ae35b4360"
1439,"TX","Harris (County)","HOUSTON","77015",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"67668b44-797e-4eed-8954-f13711ba24d7"
1439,"TX","Harris (County)","HOUSTON","77016",5,4,5,0,0,0,4,12326.5,0,2831,9495.5,4,0,0,0,"eb78d21a-2f98-4cbc-b195-6e255e046685"
1439,"TX","Harris (County)","HOUSTON","77018",3,3,3,0,0,0,1,1600,0,1600,0,1,0,0,0,"6f9e469c-606d-4403-8a05-b1d60cc5e5ad"
1439,"TX","Harris (County)","HOUSTON","77019",1,1,1,0,0,0,1,1494,0,1494,0,1,0,0,0,"90292fd6-f0c6-4f0f-a0fb-62e168091f61"
1439,"TX","Harris (County)","HOUSTON","77020",7,7,7,0,0,0,4,14415.03,0,5104,9311.03,4,0,0,0,"4dc971e5-2433-455e-a08e-f61d0db4052e"
1439,"TX","Harris (County)","HOUSTON","77021",2,2,2,0,0,0,2,21203.71,0,4538,16665.71,0,2,0,0,"6fc305ef-f970-47cd-a5ba-13b6f510bbb7"
1439,"TX","Harris (County)","HOUSTON","77022",8,7,8,0,0,0,4,18950.38,3132.78,3468,12349.6,4,0,0,0,"32a0d86e-6065-4a79-9820-7b7bf9d2e63e"
1439,"TX","Harris (County)","HOUSTON","77023",2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"bf62bdd9-9f30-4d1a-ae0b-5c1cd4ec3c29"
1439,"TX","Harris (County)","HOUSTON","77024",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"e1fd3544-a423-49dc-99dc-d6498a1c8626"
1439,"TX","Harris (County)","HOUSTON","77026",12,10,12,0,0,0,9,52476.03,0,11080,41396.03,7,2,0,0,"9d1d8403-0088-40e9-80ee-a98b177c96d4"
1439,"TX","Harris (County)","HOUSTON","77028",4,3,4,0,0,0,2,13084.1,0,1494,11590.1,2,0,0,0,"fa7ce1b8-fd26-4b6f-806f-7989f263ae5e"
1439,"TX","Harris (County)","HOUSTON","77029",2,2,2,0,0,0,1,7739.36,0,1494,6245.36,1,0,0,0,"44a446db-1b76-464d-9c7d-f2533ce5b315"
1439,"TX","Harris (County)","HOUSTON","77032",79,72,79,0,0,0,52,279219.82,0,52892,225684.96,43,9,0,0,"742c808a-295a-4559-ba55-0e3a58cac8e9"
1439,"TX","Harris (County)","HOUSTON","77033",8,7,8,0,0,0,7,21303.25,0,6704,14599.25,7,0,0,0,"64db3f42-3b59-48f1-baba-aa2c0975a6e5"
1439,"TX","Harris (County)","HOUSTON","77034",4,2,4,0,0,0,2,2450,0,0,2450,2,0,0,0,"aa780453-6d8b-4779-8ae7-5fb8ef421cfb"
1439,"TX","Harris (County)","HOUSTON","77035",8,7,8,0,0,0,6,19990.1,0,2454,17536.1,6,0,0,0,"67a429f8-d43f-4b55-aed2-095cb6c84720"
1439,"TX","Harris (County)","HOUSTON","77036",5,5,5,0,0,0,3,22511.47,0,3566,18945.47,3,0,0,0,"aa990a1c-1b5a-4bcd-9ec1-851065beb6fc"
1439,"TX","Harris (County)","HOUSTON","77037",27,24,27,0,0,0,20,156617.89,0,28514,128103.89,14,6,0,0,"2206c76f-f9f3-4c28-8bff-d1d35080c4a4"
1439,"TX","Harris (County)","HOUSTON","77038",49,42,49,0,0,0,35,262559.25,0,43402,218609.53,21,14,0,0,"9cff50d7-f678-4e6c-bc3a-5b2ddfb8fb12"
1439,"TX","Harris (County)","HOUSTON","77039",42,40,42,0,0,0,34,241779.78,0,45900,195879.78,25,9,0,0,"7d44690f-688e-4b18-9654-78a2c375ccba"
1439,"TX","Harris (County)","HOUSTON","77040",20,17,20,0,0,0,11,49302.19,0,15444,32638.63,10,1,0,0,"eb7c46d4-a05f-4718-abd3-0f908b4d42c6"
1439,"TX","Harris (County)","HOUSTON","77041",3,3,3,0,0,0,3,4482,0,4482,0,3,0,0,0,"8959f799-0d14-4fd4-a258-af7ff25779a7"
1439,"TX","Harris (County)","HOUSTON","77043",1,1,1,0,0,0,1,550,0,0,550,1,0,0,0,"f7887b4f-5256-4980-8ca8-5d6fec6380ef"
1439,"TX","Harris (County)","HOUSTON","77044",8,8,8,0,0,0,8,26041.17,0,7046,18995.17,7,1,0,0,"e5495588-4020-4189-b657-ec2c15056412"
1439,"TX","Harris (County)","HOUSTON","77045",2,1,2,0,0,0,1,3781.71,0,0,3781.71,1,0,0,0,"f025f985-9bf5-44f0-91c4-1c102e247c28"
1439,"TX","Harris (County)","HOUSTON","77047",1,1,1,0,0,0,1,8333.32,0,2084,6249.32,1,0,0,0,"a9025de6-ef1e-459e-bcbe-e80aca251e4f"
1439,"TX","Harris (County)","HOUSTON","77048",3,3,3,0,0,0,1,1156,0,1156,0,1,0,0,0,"361a0f69-1b04-4caa-a16f-586c408adfbd"
1439,"TX","Harris (County)","HOUSTON","77049",9,9,9,0,0,0,8,31312.21,0,7746,23566.21,8,0,0,0,"ce25c7b5-4277-43c0-b280-77ed577a272b"
1439,"TX","Harris (County)","HOUSTON","77050",1,1,1,0,0,0,1,3157.14,0,2454,703.14,1,0,0,0,"f92ab87a-9640-4d7b-a667-c485dc6acd97"
1439,"TX","Harris (County)","HOUSTON","77051",2,2,2,0,0,0,1,6290.75,0,0,6290.75,1,0,0,0,"914663e4-f5b1-4525-ae62-0fffde6f9cf3"
1439,"TX","Harris (County)","HOUSTON","77053",3,3,3,0,0,0,3,10367.65,0,0,10367.65,3,0,0,0,"efe9c637-da3c-4587-b5b7-6bc02617b872"
1439,"TX","Harris (County)","HOUSTON","77054",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"c050c179-3f02-4887-b5d1-48f7714b9053"
1439,"TX","Harris (County)","HOUSTON","77055",2,2,2,0,0,0,1,2950,0,0,2950,1,0,0,0,"46e815ab-c508-479f-961a-353ab3eff366"
1439,"TX","Harris (County)","HOUSTON","77057",1,1,1,0,0,0,1,180.29,0,0,180.29,1,0,0,0,"94bd3f00-c00a-45e6-b87c-839f4d01ef0b"
1439,"TX","Harris (County)","GREEN POINT","77060",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"17df1a85-6ccb-440e-af3f-68ac03c98b7d"
1439,"TX","Harris (County)","HOUSTON","77060",1059,947,1059,0,0,0,816,5342934.48,0,707946,4634778.48,625,191,0,0,"76386171-9784-488f-b425-22c82da5a1c5"
1439,"TX","Harris (County)","HOUSTON","77061",2,2,2,0,0,0,2,6748.12,0,2084,4664.12,2,0,0,0,"ca093435-6af6-4847-bf4b-d7cde3b3af45"
1439,"TX","Harris (County)","HOUSTON","77065",1,1,1,0,0,0,1,2454,0,2454,0,1,0,0,0,"4706f4a5-1475-491c-81b3-9fd1808601b7"
1439,"TX","Harris (County)","HOUSTON","77066",8,6,8,0,0,0,5,22232.26,0,2084,20148.26,5,0,0,0,"9cdfa24a-5a54-457f-aabc-2044c8029207"
