state,incidentType,total_damage_sum,total_approved_amount_sum,total_max_grants_sum,disaster_frequency
AK,Flood,609.99,3843.99,0,1
AL,Hurricane,496116888.01,297437954.73,217,1358
AL,Severe Storm,308993612.11,120731517.91,1079,1390
AL,Tornado,4068801.31,1095325.42,19,5
AR,Flood,15541355.68,8741423.34,17,65
AR,Severe Storm,110289445.46,53870862.7,444,1052
AR,Tornado,6289889.41,2232045.3000000003,41,20
AS,Earthquake,2301.77,2151.83,0,2
AZ,Severe Storm,766363.67,660686.91,5,2
CA,Earthquake,21915750.68,18241303.23,21,48
CA,Fire,831842927.93,117998068.95,2262,455
CA,Flood,35932473.24,48259548.62,218,420
CA,Severe Storm,60875595.66,45623926.42,98,1007
CA,Winter Storm,1576074.0,1921269.32,0,1
CO,Fire,14786546.95,1011741.0599999999,6,7
CO,Flood,60284914.57,53162767.21,256,189
CO,Severe Storm,1383767.6600000001,46173.09,0,5
CT,Hurricane,60176746.9,29172830.529999997,49,439
CT,Severe Storm,9970178.23,7543412.13,3,308
DC,Hurricane,702758.96,520904.49,0,17
DE,Hurricane,2601782.83,1195490.99,3,42
FL,Flood,25243579.17,23007360.79,1,119
FL,Hurricane,5099236419.42,2625496282.46,4713,8197
FL,Other,4125942.68,883556.72,0,2
FL,Severe Storm,111182189.68,79398612.42,326,834
GA,Hurricane,40384093.48,26721715.76,24,410
GA,Severe Storm,102951845.51,61392546.52,537,514
GA,Tornado,3865375.3499999996,1676964.81,19,20
GU,Hurricane,9194.1,9972.33,0,4
IA,Flood,35105360.08,18742313.75,193,122
IA,Severe Storm,232584613.93,162705205.10999998,1525,1761
IL,Flood,160488344.07,149529374.08,110,745
IL,Severe Storm,546130395.92,495419028.7,480,1429
IL,Tornado,10223098.1,1476564.65,27,24
IN,Flood,5427289.01,3483459.3,0,117
IN,Severe Storm,199419522.65,137742697.49,482,1943
IN,Tornado,11714622.03,578396.0,4,7
KS,Severe Storm,72437025.78,26425989.8,339,275
KY,Flood,130005645.92,115892320.04,801,445
KY,Severe Storm,172498911.22,117094363.63,691,1947
KY,Tornado,40053843.16,11306075.75,115,70
LA,Flood,1214833175.65,738186540.16,3441,742
LA,Hurricane,6261540324.54,3680124055.78,17696,3694
LA,Severe Ice Storm,4995753.54,5003752.42,0,166
LA,Severe Storm,17806035.41,10070972.28,18,204
LA,Tornado,4203301.57,2026187.8499999999,15,9
MA,Flood,3172972.89,2566900.04,0,144
MA,Hurricane,3866933.0999999996,5311291.6899999995,111,59
MA,Severe Storm,89869597.5,77889268.63,42,856
MA,Tornado,4704694.98,1459429.36,16,23
MD,Hurricane,64234773.56,29340855.47,18,426
